"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"49","1",1,"3",426000,"6","126","36","82","55","1","1","1",0,"33",-37.8016,144.9988,"4","191"
"50","1",3,"1",1447500,"1","246","36","82","55","3","3","1",166,"33",-37.8017,145.0001,"4","191"
"51","1",1,"3",457000,"3","171","36","82","55","1","1","1",0,"33",-37.8078,144.9965,"4","191"
"52","1",2,"1",1135000,"3","246","36","82","55","2","2","2",98,"33",-37.8005,144.9952,"4","191"
"54","1",4,"1",1542000,"3","76","41","82","55","4","3","1",0,"33",-37.7994,144.9965,"4","191"
"56","1",3,"1",1290000,"3","34","42","82","55","3","2","2",147,"33",-37.805,144.9943,"4","191"
"57","1",3,"1",1290000,"3","34","42","82","55","3","1","1",168,"33",-37.8007,144.9958,"4","191"
"58","1",1,"3",470000,"3","246","44","82","55","1","1","1",0,"33",-37.8055,144.9961,"4","191"
"59","1",2,"1",1180000,"3","171","49","82","55","2","1","0",162,"33",-37.8016,144.9956,"4","191"
"60","1",3,"1",1195000,"6","171","49","82","55","3","2","1",120,"33",-37.8022,144.9954,"4","191"
"62","1",2,"1",1012500,"3","246","51","82","55","2","1","0",182,"33",-37.8021,144.9976,"4","191"
"64","1",2,"1",1030000,"3","34","62","82","55","2","1","1",172,"33",-37.8086,144.9946,"4","191"
"67","3",3,"2",840000,"1","246","59","41","34","3","2","1",303,"24",-37.718,144.878,"8","164"
"68","3",3,"1",730000,"8","246","61","41","34","3","2","1",0,"24",-37.7203,144.8755,"8","164"
"69","3",3,"1",770000,"6","246","65","41","34","3","2","1",0,"24",-37.7203,144.8755,"8","164"
"71","3",2,"1",603000,"3","246","65","41","34","2","1","1",272,"24",-37.7294,144.888,"8","164"
"72","3",3,"2",700000,"3","43","65","41","34","3","2","2",239,"24",-37.7218,144.8837,"8","164"
"73","3",3,"1",600000,"3","209","65","41","34","2","1","1",290,"24",-37.7273,144.8744,"8","164"
"74","3",2,"3",500000,"8","24","65","41","34","2","1","1",168,"24",-37.7215,144.8864,"8","164"
"80","3",3,"1",720000,"3","24","70","41","34","2","1","1",620,"24",-37.7173,144.8872,"8","164"
"81","3",4,"1",785000,"3","81","70","41","34","3","1","2",597,"24",-37.7259,144.8792,"8","164"
"82","3",6,"1",725000,"6","24","71","41","34","6","3","2",976,"24",-37.7239,144.8735,"8","164"
"83","3",2,"2",450000,"3","24","71","41","34","2","1","1",110,"24",-37.7216,144.871,"8","164"
"84","3",2,"3",515000,"3","24","73","41","34","2","1","1",141,"24",-37.7298,144.8883,"8","164"
"86","3",2,"3",530000,"3","246","4","41","34","2","1","1",120,"24",-37.7234,144.8792,"8","164"
"87","3",3,"1",895000,"1","305","4","41","34","3","1","6",1063,"24",-37.7249,144.8728,"8","164"
"89","3",3,"1",805000,"3","246","5","41","34","3","1","1",0,"24",-37.7217,144.8783,"8","164"
"91","3",3,"3",752000,"3","246","6","41","34","3","1","1",265,"24",-37.7302,144.8855,"8","164"
"95","3",2,"3",440000,"3","24","13","41","34","2","1","1",192,"24",-37.7177,144.8787,"8","164"
"97","3",5,"1",755000,"1","285","14","41","34","3","2","2",596,"24",-37.7248,144.8699,"8","164"
"99","3",3,"2",700000,"1","43","17","41","34","3","2","2",165,"24",-37.727,144.887,"8","164"
"101","3",3,"1",830000,"3","24","18","41","34","3","1","2",971,"24",-37.7186,144.876,"8","164"
"102","3",2,"3",462500,"3","24","19","41","34","2","1","1",164,"24",-37.7218,144.8863,"8","164"
"103","3",3,"1",670000,"6","24","19","41","34","3","2","2",657,"24",-37.7269,144.8742,"8","164"
"104","3",2,"1",675000,"3","24","19","41","34","2","1","1",612,"24",-37.7187,144.8765,"8","164"
"105","3",3,"1",1042000,"3","246","19","41","34","3","2","5",612,"24",-37.7173,144.8796,"8","164"
"106","3",3,"1",910000,"3","219","24","41","34","3","1","1",775,"24",-37.7231,144.8835,"8","164"
"107","3",4,"1",773000,"3","43","24","41","34","5","3","4",531,"24",-37.7263,144.8679,"8","164"
"109","3",3,"1",810000,"1","24","25","41","34","3","3","2",555,"24",-37.7285,144.8694,"8","164"
"110","3",3,"1",715000,"3","305","25","41","34","3","2","2",422,"24",-37.7164,144.8792,"8","164"
"111","3",3,"1",790000,"3","246","25","41","34","3","1","3",614,"24",-37.7194,144.8827,"8","164"
"113","3",3,"2",540000,"6","246","26","41","34","2","2","1",161,"24",-37.7231,144.8802,"8","164"
"114","3",3,"2",825000,"6","24","29","41","34","3","2","1",293,"24",-37.72,144.8776,"8","164"
"115","3",3,"1",685000,"3","24","34","41","34","3","1","1",579,"24",-37.7226,144.8733,"8","164"
"117","3",3,"1",805000,"3","24","36","41","34","3","1","1",623,"24",-37.7184,144.882,"8","164"
"118","3",2,"3",510000,"3","246","36","41","34","2","1","1",141,"24",-37.7202,144.8797,"8","164"
"119","3",3,"1",612000,"3","246","36","41","34","3","2","1",212,"24",-37.7181,144.8824,"8","164"
"120","3",3,"1",662000,"3","43","37","41","34","3","1","2",612,"24",-37.7169,144.8815,"8","164"
"121","3",4,"1",978000,"3","246","41","41","34","4","3","2",532,"24",-37.7263,144.869,"8","164"
"123","3",3,"1",720000,"1","246","42","41","34","3","1","1",585,"24",-37.72,144.878,"8","164"
"129","3",4,"1",765000,"3","282","49","41","34","4","1","2",509,"24",-37.7261,144.8785,"8","164"
"130","3",4,"1",900000,"3","133","49","41","34","4","2","3",628,"24",-37.7256,144.8739,"8","164"
"134","5",2,"1",1275000,"3","139","59","127","173","2","1","0",120,"28",-37.8459,144.9555,"7","154"
"135","5",2,"1",1455000,"3","347","59","127","173","2","1","0",159,"28",-37.845,144.9538,"7","154"
"136","5",3,"1",2850000,"1","51","65","127","173","3","2","0",211,"28",-37.8481,144.9499,"7","154"
"137","5",3,"1",1850000,"3","126","65","127","173","3","2","0",128,"28",-37.8452,144.9488,"7","154"
"139","5",2,"1",1436000,"3","315","65","127","173","2","1","0",130,"28",-37.8431,144.9565,"7","154"
"141","5",2,"1",1110000,"3","214","70","127","173","1","1","0",147,"28",-37.8444,144.9484,"7","154"
"142","5",2,"1",1550000,"3","330","71","127","173","2","1","1",167,"28",-37.8405,144.9521,"7","154"
"143","5",4,"1",2300000,"3","214","71","127","173","4","2","1",153,"28",-37.8447,144.9523,"7","154"
"145","5",3,"2",1550000,"8","214","73","127","173","3","2","2",718,"28",-37.8443,144.9598,"7","154"
"146","5",3,"1",1800000,"8","126","73","127","173","3","2","1",132,"28",-37.8415,144.952,"7","154"
"148","5",2,"1",2120000,"3","126","4","127","173","2","1","1",199,"28",-37.8422,144.9554,"7","154"
"149","5",3,"1",1800000,"8","65","4","127","173","3","1","1",253,"28",-37.8443,144.9579,"7","154"
"150","5",3,"1",1800000,"3","214","4","127","173","3","2","1",90,"28",-37.8421,144.9571,"7","154"
"152","5",2,"1",1810000,"1","126","5","127","173","2","1","0",240,"28",-37.8379,144.9539,"7","154"
"153","5",3,"1",2615000,"3","65","5","127","173","3","2","1",177,"28",-37.8415,144.9585,"7","154"
"154","5",5,"1",2100000,"3","126","5","127","173","5","2","1",237,"28",-37.8436,144.9557,"7","154"
"155","5",3,"1",1300000,"3","139","5","127","173","3","1","0",129,"28",-37.8422,144.949,"7","154"
"156","5",3,"1",1370000,"3","126","9","127","173","3","2","2",0,"28",-37.8451,144.9511,"7","154"
"157","5",2,"1",1000000,"3","65","11","127","173","2","1","0",288,"28",-37.8407,144.9523,"7","154"
"159","5",3,"1",2575000,"3","126","17","127","173","3","2","1",228,"28",-37.8445,144.9501,"7","154"
"160","5",2,"1",1322500,"3","126","17","127","173","2","1","0",149,"28",-37.8443,144.9481,"7","154"
"162","5",2,"1",1562500,"3","126","17","127","173","2","1","0",141,"28",-37.8424,144.9562,"7","154"
"163","5",3,"1",2000000,"8","315","18","127","173","3","2","1",211,"28",-37.847,144.9575,"7","154"
"166","5",3,"1",1900000,"3","126","25","127","173","3","1","0",209,"28",-37.8468,144.9546,"7","154"
"167","5",3,"1",3010000,"3","126","25","127","173","3","2","0",147,"28",-37.8473,144.9551,"7","154"
"169","5",4,"1",2800000,"8","65","26","127","173","4","3","1",327,"28",-37.8467,144.9475,"7","154"
"171","5",2,"3",647000,"3","126","34","127","173","2","1","1",0,"28",-37.846,144.9542,"7","154"
"173","5",3,"1",2100000,"6","214","37","127","173","2","1","1",120,"28",-37.8427,144.9546,"7","154"
"177","5",3,"1",2000000,"1","214","41","127","173","3","1","1",238,"28",-37.8461,144.9528,"7","154"
"178","5",1,"3",442500,"3","214","42","127","173","1","1","0",0,"28",-37.8421,144.9517,"7","154"
"179","5",4,"1",4735000,"3","214","42","127","173","4","2","1",330,"28",-37.8477,144.9558,"7","154"
"180","5",2,"1",1340000,"3","126","42","127","173","2","1","0",136,"28",-37.846,144.9517,"7","154"
"181","5",3,"1",1801000,"3","139","42","127","173","3","1","1",202,"28",-37.8429,144.9493,"7","154"
"182","5",3,"1",1532000,"3","71","44","127","173","3","3","1",0,"28",-37.8415,144.9585,"7","154"
"183","5",3,"1",3755000,"3","126","44","127","173","3","2","2",325,"28",-37.8413,144.95,"7","154"
"184","5",4,"1",2140000,"3","126","48","127","173","3","2","1",183,"28",-37.8434,144.9495,"7","154"
"186","5",2,"1",1750000,"3","214","49","127","173","2","1","1",162,"28",-37.8416,144.9488,"7","154"
"187","5",2,"1",980000,"3","126","51","127","173","2","1","0",79,"28",-37.8387,144.9519,"7","154"
"191","5",3,"1",2030000,"3","139","52","127","173","3","2","0",152,"28",-37.8488,144.9551,"7","154"
"192","5",3,"1",1740000,"1","214","52","127","173","3","2","2",147,"28",-37.8448,144.9453,"7","154"
"193","5",3,"1",2800000,"8","51","62","127","173","3","3","1",0,"28",-37.8399,144.9577,"7","154"
"194","5",1,"1",985000,"3","214","62","127","173","1","1","0",81,"28",-37.8411,144.9497,"7","154"
"196","7",4,"1",2000000,"3","42","59","185","64","3","2","4",853,"8",-37.7707,145.0318,"4","92"
"197","7",3,"1",1110000,"3","171","59","185","64","3","2","2",208,"8",-37.7854,145.0325,"4","92"
"198","7",3,"1",1492000,"3","171","65","185","64","3","2","2",411,"8",-37.7713,145.0279,"4","92"
"202","7",4,"1",1717500,"3","76","76","185","64","4","2","1",599,"8",-37.7717,145.031,"4","92"
"203","7",5,"1",2840000,"3","246","9","185","64","5","4","4",809,"8",-37.775,145.0268,"4","92"
"205","7",2,"3",525500,"3","234","11","185","64","2","1","1",88,"8",-37.7791,145.0306,"4","92"
"206","7",2,"2",805000,"3","234","11","185","64","2","2","3",155,"8",-37.7804,145.0308,"4","92"
"207","7",2,"3",465000,"3","221","11","185","64","2","1","1",0,"8",-37.7773,145.0314,"4","92"
"210","7",3,"1",2000000,"1","139","17","185","64","3","3","2",686,"8",-37.78,145.0341,"4","92"
"211","7",3,"1",1540000,"3","246","18","185","64","3","1","2",592,"8",-37.7755,145.0288,"4","92"
"214","7",2,"3",820000,"3","246","25","185","64","2","1","1",183,"8",-37.7747,145.0264,"4","92"
"215","7",4,"1",1830000,"3","246","29","185","64","4","2","2",606,"8",-37.7743,145.0316,"4","92"
"216","7",4,"1",2100000,"3","246","29","185","64","4","2","2",575,"8",-37.7723,145.0319,"4","92"
"217","7",3,"1",865000,"6","139","34","185","64","3","1","1",180,"8",-37.7802,145.0243,"4","92"
"218","7",2,"3",390000,"8","246","34","185","64","2","1","1",0,"8",-37.7773,145.0314,"4","92"
"219","7",2,"2",650000,"6","42","41","185","64","0","1","0",0,"8",-37.7848,145.025,"4","92"
"220","7",2,"3",512000,"3","204","42","185","64","2","1","1",0,"8",-37.7805,145.0262,"4","92"
"225","7",3,"1",1165000,"3","24","48","185","64","3","1","2",979,"8",-37.7792,145.029,"4","92"
"227","7",4,"1",1900000,"6","221","49","185","64","4","2","2",556,"8",-37.7844,145.0225,"4","92"
"229","7",3,"1",1485000,"6","221","52","185","64","3","0","0",597,"8",-37.7781,145.0284,"4","92"
"230","7",4,"1",1950000,"3","171","62","185","64","4","2","3",589,"8",-37.7719,145.0309,"4","92"
"231","8",3,"1",520000,"8","126","59","44","12","3","2","1",352,"12",-37.87,144.825,"8","235"
"232","8",5,"1",1525000,"3","126","61","44","12","5","3","3",729,"12",-37.8721,144.8105,"8","235"
"233","8",2,"2",720000,"3","139","64","44","12","2","1","2",292,"12",-37.8687,144.8197,"8","235"
"234","8",3,"1",1120000,"3","23","65","44","12","3","1","2",506,"12",-37.8693,144.8375,"8","235"
"235","8",4,"1",780000,"1","340","66","44","12","4","1","4",655,"12",-37.868,144.8154,"8","235"
"236","8",4,"1",1780000,"6","126","66","44","12","4","3","6",1057,"12",-37.8681,144.819,"8","235"
"237","8",3,"3",630000,"3","23","70","44","12","2","1","2",311,"12",-37.8702,144.8143,"8","235"
"238","8",2,"3",406000,"6","139","70","44","12","2","1","1",65,"12",-37.8693,144.8171,"8","235"
"239","8",3,"1",660000,"8","126","71","44","12","3","1","1",602,"12",-37.8616,144.8116,"8","235"
"240","8",3,"1",683500,"3","126","73","44","12","3","1","1",530,"12",-37.8594,144.817,"8","235"
"242","8",2,"3",580000,"3","23","76","44","12","2","1","1",225,"12",-37.8696,144.827,"8","235"
"243","8",3,"1",1335000,"3","139","76","44","12","3","1","4",777,"12",-37.8697,144.8249,"8","235"
"244","8",3,"2",800000,"6","139","76","44","12","3","2","2",280,"12",-37.8734,144.8143,"8","235"
"245","8",2,"3",510000,"3","364","4","44","12","2","1","1",127,"12",-37.8686,144.8182,"8","235"
"246","8",4,"1",1070000,"3","23","4","44","12","4","2","2",695,"12",-37.8733,144.8147,"8","235"
"247","8",2,"3",425000,"3","139","4","44","12","2","1","2",115,"12",-37.871,144.8185,"8","235"
"248","8",3,"3",605000,"3","168","5","44","12","3","2","2",230,"12",-37.8646,144.827,"8","235"
"249","8",3,"2",705000,"3","139","6","44","12","3","2","2",197,"12",-37.8579,144.8181,"8","235"
"250","8",2,"3",391000,"6","126","6","44","12","2","1","1",0,"12",-37.8678,144.8384,"8","235"
"251","8",2,"3",440000,"6","139","6","44","12","2","1","1",0,"12",-37.8659,144.831,"8","235"
"252","8",4,"1",845000,"3","139","6","44","12","4","1","2",745,"12",-37.8658,144.8155,"8","235"
"254","8",3,"2",743000,"6","127","11","44","12","3","2","2",211,"12",-37.8698,144.816,"8","235"
"256","8",3,"3",730000,"6","23","13","44","12","3","2","1",69,"12",-37.868,144.8286,"8","235"
"258","8",3,"1",635000,"3","340","14","44","12","3","1","4",625,"12",-37.8611,144.8114,"8","235"
"259","8",2,"3",620000,"6","139","14","44","12","2","1","1",168,"12",-37.8676,144.8202,"8","235"
"260","8",2,"3",447000,"3","48","17","44","12","2","1","1",137,"12",-37.8655,144.8299,"8","235"
"261","8",3,"3",730000,"6","23","18","44","12","3","2","1",70,"12",-37.868,144.8287,"8","235"
"262","8",3,"1",678000,"3","139","18","44","12","3","1","2",606,"12",-37.8608,144.8124,"8","235"
"263","8",2,"3",580000,"1","34","19","44","12","2","2","1",175,"12",-37.8687,144.8268,"8","235"
"264","8",3,"1",712000,"3","139","24","44","12","3","1","2",363,"12",-37.8674,144.8375,"8","235"
"265","8",3,"1",840000,"6","126","25","44","12","3","2","2",534,"12",-37.86,144.8245,"8","235"
"266","8",3,"1",980000,"3","23","29","44","12","3","1","2",724,"12",-37.8672,144.817,"8","235"
"268","8",3,"2",605100,"3","139","34","44","12","3","2","0",265,"12",-37.8583,144.8172,"8","235"
"269","8",3,"1",880000,"1","23","36","44","12","3","3","1",577,"12",-37.8699,144.8235,"8","235"
"270","8",3,"3",577000,"3","380","37","44","12","3","2","1",205,"12",-37.8684,144.815,"8","235"
"272","8",4,"1",1030000,"3","23","42","44","12","4","1","0",797,"12",-37.8663,144.8387,"8","235"
"273","8",3,"3",605000,"3","23","42","44","12","3","1","2",181,"12",-37.8659,144.822,"8","235"
"276","8",3,"1",753000,"3","23","48","44","12","3","2","2",529,"12",-37.8612,144.8247,"8","235"
"277","8",2,"1",857000,"6","139","49","44","12","2","2","1",675,"12",-37.8653,144.8129,"8","235"
"278","8",3,"1",1500000,"3","23","51","44","12","3","1","1",929,"12",-37.8651,144.832,"8","235"
"279","8",3,"3",730000,"6","23","51","44","12","3","2","1",70,"12",-37.868,144.8285,"8","235"
"280","8",3,"1",900000,"3","340","51","44","12","3","1","4",697,"12",-37.871,144.8075,"8","235"
"281","8",3,"1",740000,"3","126","52","44","12","3","1","2",604,"12",-37.8631,144.8195,"8","235"
"282","8",4,"1",931000,"3","340","52","44","12","4","2","3",532,"12",-37.8637,144.8365,"8","235"
"283","8",2,"1",535600,"6","79","62","44","12","2","1","1",154,"12",-37.8646,144.8272,"8","235"
"285","10",5,"1",1085000,"3","109","59","21","19","5","3","6",592,"12",-37.8388,144.8567,"8","232"
"286","10",3,"1",781000,"3","168","59","21","19","3","1","2",533,"12",-37.8291,144.835,"8","232"
"289","10",3,"1",750000,"6","168","65","21","19","3","1","3",554,"12",-37.8449,144.85,"8","232"
"290","10",2,"2",421000,"3","139","65","21","19","2","1","1",77,"12",-37.8351,144.8529,"8","232"
"291","10",3,"1",1405000,"3","340","65","21","19","3","1","3",655,"12",-37.8338,144.8562,"8","232"
"293","10",3,"1",683000,"3","109","66","21","19","3","1","2",534,"12",-37.8284,144.8355,"8","232"
"295","10",3,"1",623000,"3","340","66","21","19","3","1","3",540,"12",-37.8267,144.8368,"8","232"
"296","10",3,"1",720000,"8","126","70","21","19","3","2","1",0,"12",-37.8379,144.8583,"8","232"
"300","10",3,"1",588000,"3","380","71","21","19","3","1","1",328,"12",-37.838,144.8555,"8","232"
"302","10",3,"1",710000,"1","364","73","21","19","3","1","3",540,"12",-37.8294,144.8378,"8","232"
"307","10",4,"1",875000,"6","168","76","21","19","3","1","4",559,"12",-37.8448,144.8529,"8","232"
"311","10",3,"1",700000,"8","168","5","21","19","3","1","3",554,"12",-37.8449,144.85,"8","232"
"314","10",2,"2",640000,"3","380","7","21","19","2","1","1",252,"12",-37.8397,144.8602,"8","232"
"315","10",4,"1",650000,"6","380","9","21","19","4","1","4",558,"12",-37.8451,144.8529,"8","232"
"322","10",3,"1",675000,"3","139","14","21","19","3","2","2",171,"12",-37.8337,144.8554,"8","232"
"323","10",3,"1",708000,"3","126","17","21","19","3","1","2",585,"12",-37.8258,144.8523,"8","232"
"326","10",4,"1",965000,"6","127","17","21","19","4","1","4",851,"12",-37.8345,144.8444,"8","232"
"335","10",3,"1",680000,"3","340","29","21","19","3","1","3",551,"12",-37.8254,144.8514,"8","232"
"338","10",3,"1",770000,"6","139","29","21","19","3","1","3",602,"12",-37.8327,144.8451,"8","232"
"339","10",3,"1",923000,"3","126","34","21","19","3","1","2",740,"12",-37.8269,144.8455,"8","232"
"340","10",4,"1",693000,"6","293","34","21","19","4","2","4",315,"12",-37.8391,144.8467,"8","232"
"341","10",3,"1",620000,"6","157","36","21","19","5","2","2",276,"12",-37.8262,144.8443,"8","232"
"343","10",3,"1",728500,"3","168","36","21","19","3","1","1",531,"12",-37.8277,144.8385,"8","232"
"344","10",3,"1",931000,"3","139","36","21","19","3","2","1",590,"12",-37.8382,144.8649,"8","232"
"345","10",3,"1",988000,"3","340","36","21","19","3","1","4",715,"12",-37.8423,144.8632,"8","232"
"347","10",3,"1",590000,"3","364","37","21","19","3","1","2",561,"12",-37.8444,144.8491,"8","232"
"348","10",2,"1",610000,"3","315","41","21","19","2","1","2",691,"12",-37.834,144.8553,"8","232"
"350","10",3,"1",815000,"3","139","42","21","19","3","2","3",555,"12",-37.8318,144.8388,"8","232"
"351","10",4,"1",970000,"3","126","42","21","19","4","1","2",708,"12",-37.833,144.8494,"8","232"
"354","10",4,"1",760000,"3","157","48","21","19","4","1","3",668,"12",-37.8262,144.8439,"8","232"
"356","10",4,"2",847500,"3","315","48","21","19","4","3","1",252,"12",-37.8393,144.8568,"8","232"
"357","10",4,"1",1200000,"6","315","49","21","19","4","1","4",633,"12",-37.8375,144.8541,"8","232"
"360","10",3,"1",700000,"6","157","49","21","19","3","1","1",557,"12",-37.8441,144.8505,"8","232"
"361","10",3,"1",625000,"1","157","51","21","19","3","1","1",536,"12",-37.8285,144.8351,"8","232"
"362","10",2,"3",292000,"3","168","52","21","19","2","1","1",153,"12",-37.8332,144.8649,"8","232"
"366","12",2,"3",599000,"3","171","59","184","114","2","1","1",0,"29",-37.8543,145.0262,"7","221"
"367","12",2,"3",550000,"8","253","61","184","114","2","1","0",861,"29",-37.8539,145.0284,"7","221"
"368","12",3,"3",995000,"3","214","61","184","114","3","2","2",0,"29",-37.8552,145.016,"7","221"
"369","12",3,"2",1205000,"3","171","61","184","114","3","2","2",101,"29",-37.854,145.0135,"7","221"
"372","12",3,"1",1939000,"3","171","61","184","114","3","2","2",296,"29",-37.8614,145.0274,"7","221"
"373","12",1,"3",421500,"3","34","61","184","114","1","1","0",0,"29",-37.853,145.0167,"7","221"
"376","12",3,"1",1870000,"3","151","65","184","114","3","1","1",217,"29",-37.8592,145.0182,"7","221"
"378","12",2,"3",678000,"3","139","65","184","114","2","1","2",0,"29",-37.8538,145.0127,"7","221"
"381","12",3,"2",1918000,"6","171","65","184","114","3","2","2",0,"29",-37.8537,145.0267,"7","221"
"383","12",2,"3",660000,"6","139","65","184","114","2","1","1",0,"29",-37.8619,145.0257,"7","221"
"384","12",3,"1",2050000,"3","214","65","184","114","3","2","1",205,"29",-37.8574,145.0281,"7","221"
"387","12",2,"3",700000,"8","171","66","184","114","2","1","2",0,"29",-37.8552,145.016,"7","221"
"388","12",2,"3",3625000,"3","171","66","184","114","3","2","2",0,"29",-37.8555,145.0291,"7","221"
"389","12",4,"1",3000000,"8","171","66","184","114","4","2","2",1581,"29",-37.858,145.0111,"7","221"
"391","12",5,"1",1525000,"1","171","71","184","114","8","2","2",693,"29",-37.8638,145.0229,"7","221"
"393","12",3,"3",735000,"1","214","71","184","114","3","2","1",2113,"29",-37.8543,145.0262,"7","221"
"394","12",2,"3",825000,"3","171","71","184","114","2","1","1",0,"29",-37.8528,145.0268,"7","221"
"395","12",3,"2",1586000,"3","315","71","184","114","2","2","2",246,"29",-37.8566,145.0116,"7","221"
"400","12",2,"3",645000,"3","214","76","184","114","3","1","1",0,"29",-37.8596,145.0198,"7","221"
"401","12",1,"1",1435000,"6","171","76","184","114","2","2","1",144,"29",-37.8564,145.0228,"7","221"
"403","12",1,"3",280000,"1","139","4","184","114","1","1","1",0,"29",-37.8619,145.0185,"7","221"
"404","12",1,"3",400000,"1","139","5","184","114","1","1","1",0,"29",-37.8605,145.0185,"7","221"
"406","12",2,"1",1780000,"3","214","5","184","114","2","2","2",0,"29",-37.8537,145.0267,"7","221"
"408","12",2,"3",592500,"3","139","5","184","114","2","1","1",0,"29",-37.8574,145.0174,"7","221"
"410","12",2,"1",1210000,"3","214","11","184","114","2","1","0",249,"29",-37.8543,145.016,"7","221"
"411","12",4,"1",2801000,"3","214","11","184","114","4","2","2",624,"29",-37.8536,145.0173,"7","221"
"415","12",1,"3",390000,"3","171","14","184","114","1","1","0",881,"29",-37.8614,145.0222,"7","221"
"417","12",3,"1",1800000,"1","315","17","184","114","3","2","2",405,"29",-37.8545,145.0145,"7","221"
"419","12",4,"1",2200000,"1","171","17","184","114","4","1","2",495,"29",-37.8613,145.0264,"7","221"
"421","12",1,"3",324000,"3","171","18","184","114","1","1","1",0,"29",-37.8537,145.0114,"7","221"
"427","12",6,"1",5525000,"3","214","24","184","114","5","3","4",1491,"29",-37.8602,145.013,"7","221"
"429","12",2,"1",1125000,"3","315","24","184","114","3","1","2",169,"29",-37.851,145.0161,"7","221"
"430","12",3,"1",2250000,"3","214","24","184","114","3","3","1",301,"29",-37.8511,145.0167,"7","221"
"431","12",3,"1",2360000,"3","139","25","184","114","3","2","0",336,"29",-37.8558,145.015,"7","221"
"432","12",2,"1",1900000,"8","171","25","184","114","2","2","0",207,"29",-37.8571,145.0224,"7","221"
"433","12",1,"3",440000,"6","171","25","184","114","1","1","1",0,"29",-37.8531,145.0115,"7","221"
"436","12",2,"3",490000,"1","294","26","184","114","2","1","1",0,"29",-37.8646,145.0247,"7","221"
"438","12",3,"1",2365000,"3","214","26","184","114","3","2","1",316,"29",-37.8521,145.019,"7","221"
"439","12",3,"1",1300000,"8","171","26","184","114","2","1","2",212,"29",-37.8542,145.0149,"7","221"
"441","12",3,"3",732000,"3","119","26","184","114","3","2","2",0,"29",-37.8597,145.0104,"7","221"
"442","12",2,"3",704000,"6","126","29","184","114","2","1","1",0,"29",-37.8573,145.0186,"7","221"
"445","12",2,"3",620000,"8","214","29","184","114","3","1","1",0,"29",-37.8596,145.0198,"7","221"
"446","12",3,"1",1900000,"3","214","34","184","114","3","1","2",328,"29",-37.8559,145.0158,"7","221"
